,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Altra Vanish Carbon,Men's Shoes - Black/Lime, $180.00 $240.00* ," Technologies  MIDSOLE Altra EgoPRO midsole is Altra's lightest weight and most responsive supercritical TPE-based compound that is designed to be resilient and hyper-responsive. Natural Ride System (NRS) design includes a more natural, foot-shaped last, zero millimeter heel-to-toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement. Segmented Carbon Fiber Plate embedded in the forefoot and midfoot of the midsole. This plate has a 3-pronged design for adaptability and is asymmetrically flexible meaning that runners will feel natural and smooth flexibility when landing, but then a stiff snappiness on toe-off.UPPER Race-Inspired Upper is lightweight, thin, and built to provide a trustworthy lock-down on race day. Slim Foot Design follows a more narrow design that provides a race-ready fit but keeps the brand’s signature foot shape through the toe box.OUTSOLE Strategic Rubber provides nice durability and traction while keeping weight at a minimum.   ","[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Altra_Vanish_Carbon/descpage-ALVCM2.html
1,Altra Vanish Carbon,Men's Shoes - Coral/Black, $180.00 $240.00* ," Technologies  MIDSOLE Altra EgoPRO midsole is Altra's lightest weight and most responsive supercritical TPE-based compound that is designed to be resilient and hyper-responsive. Natural Ride System (NRS) design includes a more natural, foot-shaped last, zero millimeter heel-to-toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement. Segmented Carbon Fiber Plate embedded in the forefoot and midfoot of the midsole. This plate has a 3-pronged design for adaptability and is asymmetrically flexible meaning that runners will feel natural and smooth flexibility when landing, but then a stiff snappiness on toe-off.UPPER Race-Inspired Upper is lightweight, thin, and built to provide a trustworthy lock-down on race day. Slim Foot Design follows a more narrow design that provides a race-ready fit but keeps the brand’s signature foot shape through the toe box.OUTSOLE Strategic Rubber provides nice durability and traction while keeping weight at a minimum.   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Altra_Vanish_Carbon/descpage-ALVCM1.html
2,Altra Vanish Tempo,Men's Shoes - Gray/Lime, $127.50 $170.00* ," Technologies  MIDSOLEAltra EgoPRO midsole is Altra's lightest weight and most responsive supercritical TPE-based compound that is designed to be resilient and hyper-responsive.Natural Ride System (NRS) design includes a more natural, foot-shaped last, zero millimeter heel-to-toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement.UPPERRace-Inspired Upper is lightweight, thin, and built to provide a trustworthy lock-down on race day.Slim Foot Design follows a narrower design that provides a race-ready fit but keeps the brand’s signature foot shape through the toe box.OUTSOLEStrategic Rubber provides nice durability and traction while keeping weight at a minimum.   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Altra_Vanish_Tempo/descpage-ALVTM2.html
3,Altra Vanish Tempo,Men's Shoes - White/Coral, $127.50 $170.00* ," Technologies  MIDSOLEAltra EgoPRO midsole is Altra's lightest weight and most responsive supercritical TPE-based compound that is designed to be resilient and hyper-responsive.Natural Ride System (NRS) design includes a more natural, foot-shaped last, zero millimeter heel-to-toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement.UPPERRace-Inspired Upper is lightweight, thin, and built to provide a trustworthy lock-down on race day.Slim Foot Design follows a narrower design that provides a race-ready fit but keeps the brand’s signature foot shape through the toe box.OUTSOLEStrategic Rubber provides nice durability and traction while keeping weight at a minimum.   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Altra_Vanish_Tempo/descpage-ALVTM1.html
4,Altra Lone Peak 7,Men's Shoes - Black/Gray, $112.50 $150.00* ," Technologies  MIDSOLE Altra EGO is a midsole compound designed for high energy return, providing high levels of durability and responsiveness. Natural Ride System (NRS) provide a more naural, foot-shaped zero-millimeter heel to toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement. Natural Foot Design to closely follow along your foot for a more natural experience OUTSOLE MaxTrac Outsole an anatomically shaped sticky rubber that provides excellent grip and durability on rocky terrain. Stoneguard™ in-bedded to provide protection from rocks and any other debris. Trail Claw multi-directional patterned lugs under the forefoot and claws under the toes and heal to provide improved grip and stability on trails. Upper Streamlined Construction updated design for a lighter feel. Original Footshape Design to provide the most comfortable and spacious fit.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Altra_Lone_Peak_7/descpage-ALP7M05.html
5,Altra Lone Peak 7,Men's Shoes - Navy, $112.50 $150.00* ," Technologies  MIDSOLE Altra EGO is a midsole compound designed for high energy return, providing high levels of durability and responsiveness. Natural Ride System (NRS) provide a more naural, foot-shaped zero-millimeter heel to toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement. Natural Foot Design to closely follow along your foot for a more natural experience OUTSOLE MaxTrac Outsole an anatomically shaped sticky rubber that provides excellent grip and durability on rocky terrain. Stoneguard™ in-bedded to provide protection from rocks and any other debris. Trail Claw multi-directional patterned lugs under the forefoot and claws under the toes and heal to provide improved grip and stability on trails. Upper Streamlined Construction updated design for a lighter feel. Original Footshape Design to provide the most comfortable and spacious fit.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Altra_Lone_Peak_7/descpage-ALP7M04.html
6,Altra Lone Peak 7,Men's Shoes - Green/Teal, $112.50 $150.00* ," Technologies  MIDSOLE Altra EGO is a midsole compound designed for high energy return, providing high levels of durability and responsiveness. Natural Ride System (NRS) provide a more naural, foot-shaped zero-millimeter heel to toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement. Natural Foot Design to closely follow along your foot for a more natural experience OUTSOLE MaxTrac Outsole an anatomically shaped sticky rubber that provides excellent grip and durability on rocky terrain. Stoneguard™ in-bedded to provide protection from rocks and any other debris. Trail Claw multi-directional patterned lugs under the forefoot and claws under the toes and heal to provide improved grip and stability on trails. Upper Streamlined Construction updated design for a lighter feel. Original Footshape Design to provide the most comfortable and spacious fit.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Altra_Lone_Peak_7/descpage-ALP7M03.html
7,Altra Lone Peak 7,Men's Shoes - Red/Orange, $112.50 $150.00* ," Technologies  MIDSOLE Altra EGO is a midsole compound designed for high energy return, providing high levels of durability and responsiveness. Natural Ride System (NRS) provide a more naural, foot-shaped zero-millimeter heel to toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement. Natural Foot Design to closely follow along your foot for a more natural experience OUTSOLE MaxTrac Outsole an anatomically shaped sticky rubber that provides excellent grip and durability on rocky terrain. Stoneguard™ in-bedded to provide protection from rocks and any other debris. Trail Claw multi-directional patterned lugs under the forefoot and claws under the toes and heal to provide improved grip and stability on trails. Upper Streamlined Construction updated design for a lighter feel. Original Footshape Design to provide the most comfortable and spacious fit.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Altra_Lone_Peak_7/descpage-ALP7M02.html
8,Altra Lone Peak 7,Men's Shoes - Taupe, $112.50 $150.00* ," Technologies  MIDSOLE Altra EGO is a midsole compound designed for high energy return, providing high levels of durability and responsiveness. Natural Ride System (NRS) provide a more naural, foot-shaped zero-millimeter heel to toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement. Natural Foot Design to closely follow along your foot for a more natural experience OUTSOLE MaxTrac Outsole an anatomically shaped sticky rubber that provides excellent grip and durability on rocky terrain. Stoneguard™ in-bedded to provide protection from rocks and any other debris. Trail Claw multi-directional patterned lugs under the forefoot and claws under the toes and heal to provide improved grip and stability on trails. Upper Streamlined Construction updated design for a lighter feel. Original Footshape Design to provide the most comfortable and spacious fit.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Altra_Lone_Peak_7/descpage-ALP7M01.html
9,Altra Lone Peak ALL-WTHR Low 2,Men's Shoes - Grey/Orange, $135.00 $180.00* ," Technologies  MIDSOLE Altra EGO is a midsole compound designed for high energy return, providing high levels of durability and responsiveness. Natural Ride System (NRS) provide a more natural, foot-shaped zero millimeter heel to toe drop, and metatarsal-specific shapes in the outsole to assist in proper foot mechanics and allow for more natural foot movement. Natural Foot Design  to closely follow along your foot for a more natural experience OUTSOLE MaxTrac Outsole  is an anatomically shaped sticky rubber that provides excellent grip and durability on rocky terrain. Stoneguard™  in-bedded to provide protection from rocks and any other debris. Trail Claw  multi-directional patterned lugs under the forefoot and claws under the toes and heal to provide improved grip and stability on trails. UPPERStreamlined Construction  updated design for a lighter feel. Original Footshape Design  to provide the most comfortable and spacious fit. Water-Resistant Bootie keeps water out and keeps your feet dry. TPU Kick Plate additional protection in the forefoot     ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Altra_Lone_Peak_ALL-WTHR_Low_2/descpage-ALAL2M2.html
